ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330143.01,0.325494,0.261959,-1.010164,0.011335,-0.456117,0.415718,-0.034107,-0.555823,0.692025,0.113398,-1.03239,0.457717,-0.821625,0.06954,0.12682,-1.0127,0.0429
9330143.02,-0.436639,0.875014,0.087912,1.789038,0.762566,0.851336,0.348313,0.308064,1.326951,-0.132105,0.152675,1.124864,-0.125129,1.0201,0.59911,-0.10416,0.80107
9330143.03,-0.171146,-0.237725,-0.732807,0.771456,0.230777,0.807534,1.631376,-0.011066,1.339791,-1.14401,-0.348746,0.224172,-0.40976,-0.00914,1.48331,-0.72949,0.15734
9330143.04,0.090999,0.246976,-1.213564,0.133936,-0.256696,0.793828,0.610575,-0.683391,1.05902,0.02013,-0.906684,0.029058,-0.723852,0.02398,0.56625,-1.22883,0.04529
9330144.03,-0.037826,-0.084302,-0.452952,-0.221605,-0.123749,0.293303,0.501808,-0.22543,0.349366,-0.991017,-0.802278,0.839489,-0.495763,-0.06321,0.56153,-0.47749,0.07362
9330144.04,-0.508398,0.976718,0.182009,0.955357,0.430198,-0.064181,0.517663,0.765088,0.745302,-0.572701,0.085828,0.937169,-0.620925,0.84428,0.51151,0.06858,0.04
9330144.05,-0.305892,0.193655,-0.777255,0.513996,0.430198,0.811745,0.062767,-0.335052,1.547161,-0.630535,-0.700467,-1.019695,-0.519672,0.25384,0.84666,-1.23801,-0.1603
9330144.06,-0.314447,0.084692,-0.692435,-0.037705,0.851198,0.222311,-0.001812,0.310306,0.706116,-0.243384,-0.788488,-0.560888,-0.727429,0.57968,0.18134,-0.97132,-0.40008
9330145.01,-0.134941,-1.109271,-1.140858,0.403656,0.075672,0.7367,0.402298,-0.23089,1.596115,-0.748062,-0.756172,0.217672,-0.611081,-0.06278,0.85432,-1.02127,0.0715
9330145.02,0.440123,0.4828,-1.233702,-0.111265,-0.323169,0.370789,0.366688,-0.510447,0.87362,-0.473151,-0.965465,-0.694534,-0.984377,-0.13373,0.6564,-1.37303,-0.42319
