ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330502.07,0.003839,-1.154047,-0.975299,0.03026,0.047658,-0.55919,-1.068702,-0.426949,-0.652005,1.408982,0.130501,-1.145557,-0.335393,-0.885858,-0.5496,-0.58795,-1.32975,-1.01383
9330503.01,0.479956,-1.490291,-1.124547,0.023666,0.037846,-0.518064,-0.912337,-0.974932,-0.687369,1.236779,-0.73717,-0.313165,0,-0.850899,-1.04356,-0.75664,-1.12634,-0.61697
9330503.03,0.089577,-0.274623,-0.9552,0.030898,0.042752,-0.589226,-0.904945,-0.281934,-0.693429,1.401424,-0.467422,-0.513036,0,-0.89049,-0.35599,-0.65251,-1.26315,-0.83081
9330503.06,-0.934334,-0.020657,0.059165,0.05238,0.053845,-1.265718,-0.541825,1.39681,-0.550039,0.635162,1.187831,0.208756,0,-1.005467,0.43649,0.68079,-0.99848,-1.31458
9330503.07,-1.513011,0.491191,1.686702,0.089176,0.095016,-1.326103,0.531081,1.780917,-0.107061,-0.208913,2.64137,-0.293531,0,-0.817904,1.81836,1.35365,0.05563,-1.76478
9330503.08,-1.070232,-1.233701,0.612262,0.057272,0.053205,-1.134365,-0.645739,0.907998,-0.579177,1.14169,0.978041,-0.677045,-0.334857,-0.863566,-0.02835,0.65488,-0.97219,-1.38494
9330503.09,-0.946521,1.860824,-0.262413,0.05557,0.065791,-1.168688,-0.930812,1.038759,-0.639685,1.277777,0.925857,0.499849,0,0,,,,
9330504.03,0.512833,-0.817545,-1.00129,0.027282,0.038486,-0.536004,-0.878236,-0.604733,-0.688848,1.279078,-0.174187,-1.076382,-0.241319,-1.04576,-0.86632,-0.79921,-1.02896,-0.85109
9330504.05,0.321219,-1.133152,-0.83031,0.029409,0.041685,-0.629609,-0.563239,-0.098595,-0.563712,0.620911,0.110897,-1.338586,0.016972,0,,,,
9330504.06,0.450548,-0.203847,-1.17529,0.028984,0.046165,-0.555526,0,-0.875275,-0.704464,1.521371,-0.091123,-1.381442,-0.163705,-0.949869,,,,
9330504.07,-0.281186,-0.944381,-1.397764,0.030685,0.047445,-0.95203,-0.75835,0.382299,-0.599936,1.04933,0.140109,-1.305682,0,0,,,,
