ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150055,-1.483515,0.186903,-0.326035,-0.908658,-0.026022,-0.087105,-0.675821,-0.689525,0,0,1.676131,,,
59150056,0.272836,0.932294,0.169332,0.694058,-0.025972,0.73487,-0.320114,1.872235,-0.789496,0,-0.896387,-0.05715,0.91999,-0.79602
59150059,0.789599,0.600797,1.307808,0.786522,-0.02229,0.244033,-0.218502,1.590536,-1.270555,0,-1.337967,0.07051,0.9247,-1.53344
59150062,-0.051936,0.060795,0.256239,0.940629,-0.025077,0.96972,-0.124149,1.34232,0.015892,0,0,,,
59150064,1.225183,-0.272877,-1.038669,-0.723729,-0.022937,-0.126247,-0.533015,0.04119,0,0,1.958616,,,
59150067,1.170019,-1.076657,-0.804021,-0.73914,-0.023634,1.057788,-0.623595,1.134139,0,0,-0.499435,,,
59150068,0.598292,-0.581808,-0.951762,-0.569622,-0.022489,-0.837603,-0.382049,0.04119,0,0,-0.561489,,,
59150069,0.83214,0.344985,0.047663,-0.184354,-0.022987,0.173272,-0.382049,2.851631,0,-0.558696,0.225649,,,
59150070,-1.483512,0,-0.134841,-0.754551,-0.022788,-0.060007,-0.648926,0.168937,-0.388884,0,3.02425,,,
59150071,-1.483521,-1.141174,-0.169603,-0.061068,-0.023086,-0.645886,-0.661388,0.134871,-0.231111,0,2.721895,-0.63216,-1.02962,1.14586
59150072,0.838836,-1.191029,-0.343416,0.385843,-0.022141,-0.29847,-0.554582,0.706821,-0.427815,0,1.094673,-0.39653,-0.83204,-0.18531
59150073,0.768399,-0.825039,-0.378179,0.185504,-0.023435,0.26517,-0.3798,-0.561048,-0.66598,0,-0.943364,-0.07505,-0.97922,-1.21328
59150074,0.657958,0.91532,0.79506,-0.384693,-0.023783,1.395726,-0.618042,0.509597,0,0,0,,,
59150075,-1.483495,0,-0.79533,-0.662086,-0.022141,-0.332166,-0.458212,0.04119,0,0,1.367343,,,
59150076,-1.483521,-0.866975,-0.499848,-0.93948,-0.02234,-0.187755,-0.65882,-0.427217,0,0,0.980328,,,
59150077,-1.483515,-0.663284,-1.05605,-0.816194,-0.02239,-0.837603,-0.631748,-0.702751,0,0,0.800643,,,
59150078,0.591738,0.783993,-0.230438,-0.52339,-0.023086,0.642607,-0.66737,-0.801943,0,0,0.583129,,,
59150079,-1.483518,-0.154057,0.030282,-0.09189,-0.02229,-0.245021,-0.425894,-0.801943,0,0,0.715528,,,
59150080,0.989255,1.882851,-0.838784,-0.723729,-0.023285,0.089033,-0.601636,-0.239854,1.752319,0,-0.27747,-0.52468,0.13067,1.26279
59150081,-1.483518,-0.014951,-1.32546,-1.186051,-0.022738,1.057788,-0.422307,0.884322,0,0,0.740747,,,
59150082,0.780452,-0.568846,-0.682352,0.093039,-0.02428,0.476535,-0.681401,0.706821,-0.427815,0,0,,,
59150083,0.622796,-0.405675,0.047663,-0.014836,-0.023833,0.155843,-0.666221,1.134139,-0.598805,0,-0.931525,-0.44841,0.08743,-0.98171
59150084,-0.275869,0.646755,2.081277,0.447486,-0.024579,0.556708,-0.442007,1.543322,0,0,-1.259587,,,
59150085,0.375043,-0.094647,-0.282582,0.10845,-0.02443,0.401534,-0.490057,1.53707,-0.912289,0,0,,,
59150086,0.030439,1.322701,0.065045,0.678647,-0.024878,1.526541,-0.603012,2.301762,-1.028725,0,-0.647411,-0.04017,1.28449,-0.6743
59150087,0.141935,2.026633,-0.777949,-0.600444,-0.024728,1.472969,-0.65882,2.650885,-0.092409,0,-0.180717,-0.60698,1.48871,0.46454
59150088,0.011605,1.860711,-0.412942,0.3242,-0.024479,0.793582,-0.647384,1.758682,0.458081,0,-0.11341,-0.31283,1.11266,0.64233
59150089,0.875536,1.038989,0.13457,-0.369283,-0.022838,0.304312,-0.665048,1.044919,0,0,-0.713849,,,
59150090,1.169022,-0.044378,-0.421632,-0.862426,-0.022439,-0.126247,-0.55237,-0.427217,-0.268098,0,-0.503229,-0.62697,-0.6357,-0.55619
59150091,-0.129012,1.65714,-0.326035,0.509129,-0.024927,0.556708,-0.497071,1.31258,-0.760025,0,-0.663195,-0.33071,0.92711,-0.479
59150092,0.084862,1.781006,0.829822,-0.415515,-0.025176,1.184148,-0.535609,1.847902,0.773484,0,-0.917403,-0.07809,1.46801,0.56248
59150093,0.464314,0.558861,0.256239,0.062218,-0.023136,0.476535,-0.452223,1.044919,-0.122243,0,-1.162588,-0.17426,0.48683,-0.56102
59150094,0.564783,0.696845,-0.230438,-0.353872,-0.023783,1.228745,-0.594432,0.392495,0,0,-1.135968,,,
59150095,0.713948,-0.272877,-0.25651,1.079326,-0.022489,0.556708,-0.661388,-0.895624,0,0,1.399594,,,
59150096,1.12081,-0.082765,-1.151647,-0.631265,-0.022439,0.331221,-0.565038,-0.066904,0,0,0.225649,,,
59150097,-1.483521,-0.866975,-0.838784,0.123861,-0.022887,0.036667,-0.600239,-0.114946,0,0,1.504411,,,
59150098,1.269263,0,-0.604136,-0.631265,-0.024231,2.195023,-0.644192,1.446411,0,0,-0.447443,,,
59150099,0.737911,-0.510516,-0.899618,-0.076479,-0.024181,2.026544,-0.477576,0.241936,3.245671,0,-0.78059,0.65591,-0.7032,1.66373
59150100,0.958709,0.34062,-0.456395,0.478307,-0.023136,0.73487,-0.688007,0.197325,0,0,0.210247,,,
59150101,-1.483486,0,-1.290698,-0.970301,-0.022589,-0.126247,-0.648926,-0.239854,0,0,2.825099,,,
59150102,-1.483501,0,-0.812712,-0.785372,-0.026121,-0.837603,-0.625714,-0.310115,0,0,1.684695,,,
59150103,-1.483512,-1.294726,-0.864856,-0.692908,-0.026121,-0.685972,0,-0.739488,0,0,2.489686,,,
59150104,-1.483512,0,-0.543301,-0.723729,-0.026072,-0.29847,-0.673825,-0.310115,0,0,1.339699,,,
59150105,-1.483501,0,-1.047359,-0.692908,-0.026022,-0.685972,-0.627778,-0.114946,0,0,1.745944,,,
59150106,-1.483509,-1.217393,-0.682352,-0.723729,-0.026121,-0.685972,-0.645004,-0.394913,-0.047743,0,1.87571,-0.84072,-1.28107,0.92617
59150107,-1.483461,0,-1.238554,-1.278516,-0.02224,-1.018117,0,-0.895624,0,0,0.736883,,,
59150108,-1.483504,-0.921815,0.360527,-0.985712,-0.026121,-0.263242,0,-0.239854,0,0,0.399806,,,
59150109,-1.483509,-1.082509,-0.847474,-0.785372,-0.022041,-0.277524,-0.683136,-0.114946,0,0,1.389844,,,
