,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,SoRI
933014201,0.313848,-0.052267,-1.004738,-0.592748,-0.612799,-0.179229,-0.602858,-0.369616,-0.129975,-0.810244,-0.501377,-0.935289,-0.42067,-0.90873,-0.4655,0.492953
933014202,0.287379,-1.254131,-0.836237,-0.842473,-0.739441,-0.131138,-0.426062,-0.704474,-0.015445,-0.442915,-1.273866,0.038326,-0.62385,-0.8917,-0.11867,0.635556
933014203,-0.189056,-0.376409,-0.441073,0.55983,0.197709,-0.286668,0.873268,-0.568814,0.152256,-0.316294,-0.254169,-0.364456,0.35735,-0.55264,-0.29717,-0.035807
933014301,0.011071,0.962128,-0.991329,0.214057,-0.258202,0.109837,-0.140387,-0.570907,0.154209,-1.195043,0.730372,-0.891384,0.25434,-0.72041,-0.15392,0.093992
933014302,-0.37637,0.229564,0.186748,1.280192,0.501649,0.326455,0.616753,0.251967,0.833767,0.485706,-1.339891,-0.710873,0.93747,-0.44297,-0.22569,-0.382022
933014303,0.095126,-0.299324,-0.755029,0.867185,-0.207545,0.21668,0.731061,-0.087841,1.439688,-0.10114,-0.869627,-0.498146,0.83621,-0.93528,0.04429,-0.127039
933014304,0.416643,-0.032447,-1.063658,0.684693,-0.612799,0.24076,0.238507,-0.713497,1.088381,-0.714517,-0.889772,-0.852059,0.55839,-1.30472,0.0401,0.151724
933014403,0.198734,-0.970928,-0.770812,-0.045273,-0.156888,-0.099144,-1.106339,0.305289,-0.01512,-0.492274,-0.419984,-0.274581,-0.44911,-0.47784,-0.27873,0.379674
933014404,-0.421114,0.175566,0.237924,0.636669,0.552306,-0.564975,1.140922,0.74127,0.451702,-0.005741,-0.124016,-0.538197,0.72346,-0.10341,-0.58636,-0.422264
933014405,-0.389096,0.873583,-0.534571,0.415758,1.033545,0.060877,-0.055598,-0.558499,0.63679,-0.391878,-1.080282,-0.455798,0.7786,-0.8917,-0.30898,-0.149243
933014406,0.140538,-0.150169,-0.846797,-0.698401,-0.106231,-0.228457,0.364433,-0.39001,0.521104,-0.620897,-0.035283,-0.615401,0.06732,-0.82702,-0.33667,0.212859
933014500,0.31562,-0.299627,-0.997902,0.607854,-0.511485,0.063981,1.025963,-0.433645,0.861523,-0.686383,-0.363408,-0.712688,0.58902,-1.07861,-0.02762,0.049398
933014600,-0.08998,-0.139763,-0.386063,-0.448676,0.400336,-0.293056,-0.372343,-0.743044,-0.213245,-0.622473,0.043739,-0.591989,-0.21741,-0.51964,-0.48112,0.24585
933014701,-0.696724,0.037019,-0.778862,1.885295,0.045739,-0.362497,2.67893,0.336292,1.690391,-1.190184,-1.69819,-0.976543,1.94922,-1.7018,-0.56874,-0.534935
933014704,-0.806812,-0.216207,-0.252527,1.164934,0.476321,-1.115179,1.534789,1.284722,1.278087,0.014281,-0.413589,-1.100308,1.09824,-0.48343,-1.17087,-0.558631
933014705,-0.755967,1.267059,-0.148307,1.760433,0.071067,-0.968854,2.817057,0.591295,1.752172,-1.122028,1.559528,-1.063459,1.96355,-0.46351,-0.55991,-0.970351
933014706,-0.771569,0.267903,-0.131575,0.742322,0.602963,-1.148635,1.78359,0.616233,0.757372,0.57431,0.520248,-1.052061,0.8216,0.01019,-1.10755,-0.571857
933014707,-1.134662,1.720383,0.306337,3.066688,1.337486,-1.133662,2.764322,0.880613,3.878116,0.079616,0.011279,-1.068143,3.29699,-0.68705,-0.67047,-1.631493
933014708,-0.932705,-0.143851,0.582389,1.39545,0.526978,-1.230773,2.977733,0.632986,1.61534,-0.005741,0.705327,-0.924337,1.58655,-0.14699,-0.89097,-0.910595
933014800,-0.976722,1.775417,0.669591,2.461584,1.920038,-0.622141,2.789992,0.229237,2.237412,0.498961,-0.411459,-0.688612,2.72162,-0.36234,-0.476,-1.409217
933014902,-0.017257,-0.97785,-0.699314,-0.026064,-0.055575,0.264438,-0.39286,-0.418481,0.34942,-0.978807,-0.308644,-0.630395,-0.05245,-0.92055,-0.19734,0.325667
933014903,0.304086,1.012852,-0.895065,0.732717,-0.663456,0.417021,1.068424,-0.566765,0.855964,-0.948634,-1.007671,-0.839984,0.96447,-1.32766,0.15823,-0.048693
933014904,-0.244259,0.129678,-0.399562,0.550226,-0.258202,-0.401911,0.394677,0.101848,0.768822,-0.139299,-0.44124,-0.934989,0.44244,-0.57391,-0.55264,-0.102649
933014905,-0.385929,0.310725,-0.680854,1.347425,0.349679,0.798841,0.985855,0.014671,1.565656,-1.253261,-0.147773,-0.522095,1.48758,-1.12678,0.27558,-0.390417
933015000,0.40874,-1.634239,-0.870598,-1.399553,-1.499292,-0.447392,-1.080225,0.688868,-0.744148,0.225941,0.60954,3.709441,-1.47529,1.10319,1.2884,0.56236
933015101,-0.55581,-0.055204,-0.474939,1.280192,0.729605,-0.276293,1.098208,0.463245,1.314582,-0.832529,0.056633,-0.630574,1.2625,-0.76039,-0.4177,-0.470168
933015103,-0.294465,-0.22539,-0.602167,0.271686,0.982888,0.025354,-0.49563,-0.414917,1.329634,-1.253261,0.440484,-0.632958,0.67771,-0.93924,-0.26057,-0.072548
933015105,-0.222033,0.818547,-0.576838,0.06038,0.704276,-0.308352,-0.011574,0.127749,0.521929,-0.474254,0.841823,-0.868459,0.44195,-0.32657,-0.52904,-0.185414
933015106,-0.357107,0.22756,-0.790029,0.185242,0.324351,-0.062312,0.401691,-0.660914,1.558576,-1.105566,-0.798915,-0.829205,0.94671,-1.4387,-0.35527,-0.056558
933016001,0.95633,-0.34218,-1.27829,-1.380343,-0.815426,0.533651,-0.898415,-1.647451,-0.96247,-0.734365,-0.815991,-0.888797,-1.06584,-1.16305,-0.03141,0.979778
933016002,0.40967,-0.688267,-0.425428,-0.948126,-0.562142,0.282639,-0.894209,-0.664055,-0.948395,0.077123,-0.736215,-0.425006,-1.03194,-0.32439,-0.15123,0.657988
933016003,0.661717,-1.389285,-0.803113,-1.101803,-0.612799,0.219696,-0.957267,-1.254893,-0.934376,0.515544,-0.90201,-0.714556,-1.34289,-0.51812,-0.28603,0.879751
933016004,0.076735,-1.519038,-0.252393,-0.842473,-0.359515,-0.136628,-0.436059,-0.696478,-0.435936,0.647182,-0.066172,-0.729014,-1.00776,-0.07942,-0.52005,0.519829
933016101,0.552821,0.06171,-0.280606,-1.341924,-0.460829,0.495145,-1.21844,-1.322043,-0.840444,0.267592,-0.022652,-0.30959,-1.07623,-0.08339,0.15353,0.631926
933016102,-0.226478,-0.485891,0.044744,-0.708006,-0.232873,-0.323403,-0.731765,0.072116,-0.765066,0.610991,-0.509363,-0.369075,-0.85885,0.21181,-0.59336,0.329918
933016103,0.121682,-1.121404,-0.785703,-1.25548,-0.410172,-0.402466,-0.824784,-0.429084,-0.771161,0.089657,-0.794953,-0.842643,-1.15408,-0.52539,-0.82597,0.72055
933016105,0.083417,-1.178225,-0.585472,-0.871288,-0.232873,-0.294406,-0.845945,0.068519,-0.660023,-0.373707,-0.048993,-0.815649,-0.94466,-0.35199,-0.71268,0.558792
933016106,0.264455,-0.541983,-1.182151,-1.169037,-0.258202,-0.417322,-0.775174,-0.615061,-0.822958,-0.330096,0.61211,-0.878135,-1.05486,-0.38912,-0.68293,0.634923
933016201,0.4072,-0.748165,-1.141834,-0.410256,-0.967396,-0.340429,-0.119053,-0.846972,-0.245308,-0.654451,-0.606552,-1.100308,-0.57275,-1.04454,-0.55198,0.613384
933016202,0.335755,-0.886894,-1.018249,-0.871288,-0.207545,-0.257907,-0.818419,-0.999895,-0.277313,-1.225661,-0.550296,-0.98262,-0.63861,-1.20891,-0.5917,0.701823
933016203,-0.384331,0.644277,-0.073416,-0.026064,0.80559,-0.221246,0.244936,-0.268751,0.86732,-0.29078,-0.688403,-0.820316,0.6886,-0.72206,-0.54944,-0.185133
933016204,1.004328,-1.390539,-1.31496,-0.640772,-0.967396,0.125698,-0.326094,-0.899707,-0.586801,-0.899991,-0.147773,-0.714592,-0.87756,-0.99085,-0.06539,0.8139
933016301,0.350573,-0.524948,-1.052897,-1.169037,-0.486157,-0.516681,-0.831194,-0.995892,-0.287349,-0.717046,-0.854628,-0.804559,-0.77794,-1.05452,-0.64224,0.718787
933016304,0.244757,0.003758,-1.012148,-0.544724,-0.587471,-0.326363,-1.13538,-0.388771,-0.669719,-0.661353,0.078286,-0.286998,-0.77077,-0.38401,-0.29629,0.520526
933016305,-0.16311,1.515083,-0.344471,-0.285394,0.324351,-0.720598,0.257397,0.564641,-0.075187,-0.281137,0.018808,-0.562899,0.30147,-0.16421,-0.65191,-0.178466
933016306,-0.283192,1.707375,0.1351,-0.535119,0.450993,-0.61919,-0.570898,0.552266,-0.002469,-0.005741,-0.681828,-0.683734,0.15642,-0.11928,-0.75259,-0.125967
933016307,0.017144,-0.613839,-0.561673,-0.784844,0.248366,-0.635101,-0.034126,0.318561,-0.141836,-0.739808,0.105132,-0.597378,-0.29185,-0.49991,-0.72484,0.253011
933016308,0.011943,-1.397517,-0.555713,-0.506304,-0.258202,-0.637271,-0.72784,0.633489,-0.31846,-0.673531,-0.404765,0.411572,-0.64489,-0.25459,-0.35717,0.400518
933017003,-0.815063,0.634321,0.198178,-0.160531,2.375949,-1.069887,-0.857145,0.119137,-0.683693,1.605187,-0.220269,-0.855966,-0.22495,0.57815,-1.48759,-0.239692
933017004,0.287031,-1.463635,-0.106925,-0.71761,-0.612799,0.649583,-0.628565,-0.227008,-0.965854,0.289127,-0.214803,0.272153,-1.057,0.16662,0.28313,0.549048
933017005,-0.948975,1.321111,0.515062,-0.189345,3.161128,-1.310511,-0.763427,0.830306,-0.622477,1.527413,-0.060071,-0.7988,0.13464,0.78037,-1.67156,-0.525638
933017006,0.002646,-0.638826,0.014593,-0.765635,-0.410172,0.15784,-0.819799,-0.136517,-0.867966,0.830487,-0.046627,0.178099,-1.01099,0.49885,-0.03721,0.374079
933018001,2.208751,-0.969719,-1.419755,-1.101803,-1.575277,0.715537,-0.09408,-1.255726,-0.619732,-1.105566,-1.489724,-1.100308,-0.85132,-1.72451,0.37155,1.101151
933018002,0.504823,-1.067315,-0.723848,-1.082594,-0.28353,1.437603,-1.035892,-0.933731,-0.902521,-1.03778,0.462667,-0.134194,-0.91304,-0.52563,0.5819,0.742772
933018101,-0.199893,0.054503,-0.59547,-0.880892,0.704276,-0.277852,-0.267237,-0.513766,-0.834818,0.325903,-1.286884,-0.960447,-0.47814,-0.5911,-0.95357,0.361131
933018103,1.067027,-0.892011,-0.239749,-1.197851,-1.22068,1.615386,-1.140323,-1.228394,-0.969349,0.478685,-0.482756,0.249906,-1.29032,-0.05061,1.03314,0.833095
933018104,0.677378,-0.294953,-0.961855,-0.967336,-0.410172,0.26676,-0.755961,-0.598634,-0.820833,-0.140502,-1.328401,-0.924321,-0.81584,-0.87565,-0.35896,0.708405
933018105,-0.370414,-0.272072,-0.454153,-0.842473,0.65362,-0.895952,-0.900474,0.310137,-0.909889,1.172022,-0.081781,-0.77201,-0.95293,0.37369,-1.23,0.255752
933018106,-0.067172,-1.034141,-1.08812,-1.092198,0.425664,-0.547727,-1.050376,-1.019117,-0.879455,0.298342,-0.061431,-0.68676,-1.14629,-0.35171,-0.89604,0.648557
933018107,1.203932,-1.699162,-1.080255,-1.53402,-1.043381,0.728631,-1.060814,-0.904824,-0.949001,-0.291937,-0.600287,-0.515239,-1.46686,-0.76061,0.17446,1.081409
933018108,0.858619,-0.495579,-1.031834,-1.505206,-0.739441,0.665624,-1.019741,-1.380914,-1.005741,-0.678185,-0.401398,-0.515604,-1.14366,-0.82876,0.15092,0.92635
933018109,1.252859,-0.167397,-1.199094,-1.197851,-1.043381,0.80354,-0.431277,-1.790575,-0.793885,0.345519,-0.733749,-1.035906,-1.02216,-0.85367,0.18268,0.87224
933018201,0.98765,-1.904516,-0.739001,-1.370738,-0.840754,1.890275,-0.963928,-1.912611,-0.138356,-0.162687,0.008628,-0.477617,-1.09321,-0.79045,0.8678,0.963746
933018202,0.536492,-1.070843,-1.345144,-1.236271,-0.866083,-0.088228,-0.109236,-1.602653,-0.742439,-1.627517,-2.024594,-1.035613,-0.74473,-1.96042,-0.55045,1.024231
933018203,0.526149,-0.098481,-1.029921,-0.275789,-0.359515,0.187563,-0.41926,-1.211144,0.177462,-1.063421,-1.31636,-0.858617,-0.05445,-1.46659,-0.15509,0.520346
933018204,0.903102,-0.935472,-1.461321,-1.2939,-1.144695,0.161129,-1.141009,-2.336332,-0.5404,-1.627517,-1.023623,-1.100308,-1.06353,-1.78602,-0.20096,1.175648
933018205,0.522169,0.412149,-1.01305,-0.275789,-0.460829,0.076525,-0.600548,-1.129287,-0.430238,-1.226253,-1.108451,-0.772227,-0.22861,-1.26241,-0.1802,0.541825
933018206,0.368151,-0.688267,-0.307216,-1.562834,-0.486157,0.948335,-0.774021,-0.189288,-0.672805,-1.108549,-0.577407,1.574797,-0.69185,-0.29634,0.99403,0.587832
933018301,0.00773,-0.857935,-0.538716,-0.659982,-0.384844,-0.435237,-1.00836,-0.113567,-0.717747,-0.521761,-0.550296,-0.572076,-0.87594,-0.44493,-0.66163,0.559085
933018303,-0.431719,-0.90792,-0.138845,-0.650377,0.172381,-0.800789,-1.022175,0.636121,-0.717474,1.094345,0.545467,-0.624806,-1.08434,0.68741,-1.04613,0.238808
933018304,0.313848,-0.960441,-0.971659,-1.389948,-1.06871,0.110318,-0.357276,-0.742095,-0.883959,-0.9374,-1.812374,-0.677846,-0.95029,-1.27281,-0.42689,0.911707
933018305,0.425533,-1.157592,-1.345635,-1.197851,-0.815426,-0.424483,-0.976826,-0.871549,-0.676707,-0.524709,-1.765163,-1.075715,-1.12788,-1.30623,-0.8515,0.973742
933018306,-0.390897,-0.415533,-0.89668,-0.813659,0.628291,-1.061825,-1.073498,0.106512,-0.690308,-0.482734,-1.212996,-1.038426,-0.65823,-0.79285,-1.45769,0.474121
933018307,0.389157,-0.375747,-1.164467,-0.890497,-0.232873,-0.194678,-1.21365,-0.588764,-0.713373,-0.532818,-1.534608,-0.941058,-0.82477,-1.08837,-0.69498,0.750267
933018401,0.327271,-1.15938,-0.977571,-0.775239,-0.612799,-0.244345,-0.365008,-0.851197,-0.38913,-0.700788,-1.410615,-0.835755,-0.68778,-1.20725,-0.57825,0.729503
933018402,-0.64402,0.243095,-0.431782,0.089194,1.236172,-1.556107,-0.259664,1.102794,-0.36258,-0.032328,-0.821241,-0.965497,0.04695,-0.27918,-1.65381,-0.109219
933018405,0.174561,0.092418,-0.850128,-0.419861,-0.080903,-0.34672,-0.038223,-0.183099,0.236366,-1.056652,-1.223817,-0.961142,0.11661,-1.26828,-0.62578,0.307213
933018406,-0.086435,-0.233208,-0.692932,-0.343023,0.754933,-0.0014,-0.399506,-0.039234,0.273587,-0.34837,-0.968293,-0.757001,0.09276,-0.86358,-0.5738,0.185805
933018407,-0.531579,1.082222,0.00523,-0.131717,1.10953,-0.642447,-0.394768,0.97736,0.367153,0.31473,-0.328033,-0.891826,0.36946,-0.03184,-0.99008,-0.298181
933018408,-0.223747,0.692499,-0.619938,-0.554329,-0.055575,-0.775289,0.011295,0.825471,0.005381,-0.609932,-1.11462,-1.051016,0.07378,-0.77453,-1.04996,0.113424
933018409,0.113866,0.313062,-0.482806,-0.659982,-0.28353,-0.600989,0.080294,-0.651857,0.566477,-0.795837,-0.856145,-0.768022,0.12325,-1.03823,-0.53373,0.234008
933018410,0.271487,0.112004,-0.038376,-0.266184,0.628291,-0.039111,0.102792,-0.726678,0.75889,-0.455149,-1.424011,-1.009217,0.47792,-1.14702,-0.41121,0.091791
933018411,0.489599,0.098595,-0.651607,-0.602353,-0.258202,0.177304,0.223457,-0.792432,0.571609,-1.118725,-1.639605,-1.041916,0.28615,-1.59731,-0.24837,0.369862
933018505,-0.565979,-0.287187,0.720762,0.473387,1.388142,-0.93266,1.587019,1.291201,0.852434,-0.916602,-0.869627,-0.69486,1.21949,-0.64408,-0.97785,-0.548048
933018506,0.6048,0.26439,-0.788836,-0.650377,-0.13156,-0.087067,-0.446454,-0.477504,-0.088977,-1.03441,-1.157774,-0.959446,-0.13082,-1.21433,-0.39571,0.448418
933018507,0.035826,-0.575321,-0.606408,-0.71761,0.400336,-0.109311,0.079381,-0.575778,0.556206,-0.504749,-0.659633,-0.776832,0.0584,-0.99835,-0.48602,0.260736
933018508,0.940379,-2.095604,-1.084577,-1.303504,-0.562142,1.272498,-0.538091,-1.505412,-0.324224,-1.009698,1.637495,-0.197732,-1.03992,-0.58125,0.73876,0.848244
933018509,-0.530794,0.365107,-0.078957,0.079589,0.678948,-1.01644,0.42445,-0.177071,0.763706,0.111294,1.603086,-0.852779,0.34931,0.16083,-0.81525,-0.33483
933018510,-0.419487,0.706003,0.358506,0.482992,1.008217,-0.442129,2.154507,-0.297024,1.516526,-1.217805,-0.934427,-0.949993,1.72177,-1.30279,-0.52846,-0.544727
933018511,-0.499387,1.137467,0.441399,0.684693,1.717411,-0.770437,0.8997,0.343662,1.143539,-0.707704,-1.209323,-0.984384,1.49074,-0.9088,-0.90451,-0.596211
933018512,-0.125978,0.237394,-0.547844,-0.4967,0.526978,-0.515867,1.017077,-0.589588,1.266592,-1.303162,-0.738943,-0.752102,0.87986,-1.43996,-0.52913,-0.038653
933018513,-0.29894,0.237844,0.195574,0.137218,0.856247,-0.531654,1.305812,0.428701,1.515058,-1.300436,-1.459192,-1.064577,1.3644,-1.41149,-0.75409,-0.337004
933018514,-0.473731,1.254703,0.523854,0.492597,2.021352,-0.450454,1.792412,-0.222348,2.913831,-0.588147,-0.826248,-1.020122,2.3477,-1.27685,-0.52538,-0.894376
933018515,-0.48454,0.280921,0.166918,-0.026064,1.286829,-0.720787,0.836443,-0.753043,1.677587,-0.87455,-1.465045,-0.835919,1.24218,-1.39674,-0.76401,-0.276605
933018516,-0.37329,1.628398,0.06745,0.06038,0.80559,-0.57196,1.857584,-0.584935,2.283266,-1.444782,-1.540253,-0.823717,2.00793,-1.74962,-0.43891,-0.536218
933018601,-0.22886,0.759648,0.005436,-0.275789,0.501649,-0.58634,-0.118872,0.323009,-0.229233,-0.591761,-0.639755,0.157164,0.18264,-0.23856,-0.37824,-0.058165
933018602,-0.570512,0.891778,0.489112,0.146823,1.286829,-0.607622,-0.129207,1.116113,-0.473597,0.141693,2.253299,1.221488,0.15888,1.41777,0.06482,-0.570183
933018605,-0.503018,0.844404,0.312423,0.310105,0.80559,-0.709645,1.142643,0.222537,1.19711,-0.256259,-0.253645,-0.793753,1.1046,-0.47924,-0.6756,-0.509562
933018606,-0.375004,1.238958,0.24598,0.185242,1.438799,0.139398,0.977276,-0.264897,2.159891,-0.676075,-0.45164,-0.827907,1.71724,-1.03562,-0.19704,-0.598602
933018607,-0.142975,1.799515,0.206819,0.002751,0.881575,-0.388303,1.530552,-0.104703,1.706142,-1.164152,-0.899907,-0.80179,1.70831,-1.23048,-0.34255,-0.542156
933018608,-0.473993,0.803636,0.251328,0.55983,0.830918,-0.656933,0.795071,0.522731,0.426198,-1.059895,0.095109,-0.597969,0.92216,-0.41381,-0.61031,-0.425697
933018703,-0.267968,0.221525,-0.420331,-0.064483,0.299022,-0.43958,-0.203203,-0.713334,0.389094,-0.808756,-0.626179,-0.639831,0.24032,-0.87027,-0.53588,0.111863
933018704,-0.532363,0.044933,-0.293205,0.915209,1.768068,-0.535997,0.468249,-0.219833,1.53653,-1.164152,-0.62789,-0.570711,1.38975,-1.18368,-0.60137,-0.413013
933018705,-0.240221,1.807042,0.20244,0.089194,0.982888,-0.28059,0.792775,-0.442719,0.956105,-1.077762,-0.752173,-0.907319,1.26876,-1.02155,-0.43249,-0.384803
933018706,-0.050815,-1.234376,-0.627875,-0.515909,0.121724,-0.121263,-0.791056,-0.685189,-0.301093,-0.371949,-0.856794,-0.957979,-0.62359,-0.82399,-0.70913,0.54762
933018707,0.553112,-0.600133,-1.272407,-0.362232,-1.094038,0.109703,-0.200035,-1.01245,-0.609678,-0.944664,-1.417945,-1.100308,-0.5793,-1.3876,-0.36722,0.755824
933018709,-0.16035,-0.11988,-0.671902,-0.583143,0.552306,-0.539448,-0.073806,-0.024361,-0.028329,-0.42759,-0.497689,-0.84701,-0.07932,-0.69888,-0.85325,0.192092
933018710,-0.2897,1.23779,-1.028156,-0.227765,0.450993,-0.824827,0.068818,-0.018979,-0.288043,-0.324172,-1.309615,-0.964756,0.18805,-0.88341,-1.06394,0.087329
933018711,-0.228134,-1.137512,-0.952529,-0.179741,-0.080903,-0.379306,0.173757,0.354602,0.07751,-1.055125,-1.652332,-0.888578,-0.01949,-1.32435,-0.87724,0.373357
933018801,0.087456,-0.185551,-1.144758,0.175638,-0.410172,0.222342,0.119266,-0.572484,0.222921,-1.245923,-1.036794,-1.100308,0.20415,-1.43903,-0.3537,0.348274
933018802,0.078681,-0.503987,-0.696417,0.502201,0.02041,-0.070309,0.293035,-0.913103,0.245353,-1.245923,-0.70945,-1.017196,0.31472,-1.28131,-0.39588,0.228851
933018803,0.487245,-0.308189,-1.236754,0.146823,-0.790097,0.181,0.414118,-1.223886,-0.010397,-1.375591,-1.467209,-1.073951,0.09719,-1.72083,-0.20753,0.520009
933018804,0.250829,-0.404797,-0.840025,-0.861683,-0.13156,-0.151712,-0.362374,-0.06971,-0.257501,-1.41128,-0.811296,-0.726514,-0.29193,-1.13574,-0.50199,0.497406
933018805,0.703004,-0.466821,-1.121259,-0.439071,-1.043381,0.381868,-0.685103,-1.347651,0.139208,-1.627517,-1.128202,-1.015335,-0.30973,-1.6649,-0.01731,0.743076
933018806,0.56854,-1.712257,-1.254944,-0.861683,-0.891411,1.431701,-0.377111,-0.928789,-0.504681,-0.185938,1.311976,-0.015894,-1.01731,-0.19993,0.74835,0.704996
933018903,-0.269479,1.473953,-0.387453,-0.602353,0.172381,-0.825225,-0.230179,-0.286189,-0.684487,-0.844591,1.091636,0.518604,-0.13897,0.2094,-0.18243,-0.016647
933018905,-0.767937,-0.10327,-0.07072,0.732717,1.514784,-1.277069,0.800598,0.412876,0.051429,0.598685,0.126883,-1.004843,0.4451,0.04735,-1.37379,-0.408621
933018906,-0.437965,1.116669,-0.422559,-0.506304,0.400336,-0.953192,0.085301,0.190455,-0.352467,-0.330096,-0.258175,-0.79586,0.02803,-0.32607,-1.01587,-0.013148
933018907,-0.669878,0.417414,-0.390969,-0.563933,1.413471,-1.281371,0.24309,1.205037,-0.581686,0.358331,2.265282,-0.851426,-0.22433,0.78283,-1.35436,-0.296348
933018908,-1.079895,0.983186,1.888096,2.67289,2.477262,-1.634698,2.750679,3.144015,0.053552,0.599399,2.249001,-0.74381,1.81686,1.63653,-1.26485,-1.694097
933018909,0.105295,-0.000507,-0.584919,0.04117,0.299022,-0.445417,0.24641,-0.399737,0.267496,-0.987943,-0.889039,-1.052466,0.32146,-1.14845,-0.66703,0.149641
933018910,-0.495145,-0.115092,-0.006144,0.252476,0.349679,-1.035006,1.042174,1.079487,-0.362891,-0.439737,0.046381,-1.034869,0.22029,-0.1623,-1.1712,-0.191503
933019001,-0.819276,-0.237422,0.764603,0.703903,1.362814,-1.293674,0.103513,2.719571,-0.438343,0.718882,0.671899,-0.601721,0.11817,1.07364,-1.37696,-0.586054
933019003,-0.764857,-0.384812,0.555169,1.251377,1.666754,-1.080114,0.363713,1.708131,-0.605114,-0.249007,-0.060071,-0.163233,0.4727,0.39101,-1.0355,-0.505725
933019004,-0.404088,-0.177721,-0.380072,-0.112507,0.602963,-0.664723,-0.697781,0.094223,-0.408796,-0.700788,1.255287,0.89438,-0.26601,0.36533,-0.09796,0.007804
933019005,-0.843566,1.363091,0.704646,1.8949,3.085143,-0.64512,1.161787,0.081565,0.116758,-0.509051,0.924696,1.412894,1.72647,0.52538,0.14758,-1.106329
933019102,-0.802076,1.232248,0.904595,1.020862,1.10953,-0.984617,0.352469,1.846322,-0.333001,0.638526,0.213602,0.110817,0.59656,1.01123,-0.71061,-0.752449
933019103,-0.359693,1.480336,0.100076,-0.141321,0.856247,-0.287709,-0.114333,0.060498,0.418276,-0.502203,0.907543,0.644065,0.5796,0.23292,0.15284,-0.37972
933019104,-0.949237,0.036568,0.903964,0.588645,0.932232,-1.101696,0.383,0.880613,0.039185,1.729844,0.489807,-0.841527,0.09056,1.01979,-1.20134,-0.533232
933019200,-0.507667,0.483855,-0.016293,0.59825,0.95756,-0.52651,0.022607,-0.033956,-0.385172,-0.432524,1.125315,0.69125,0.2719,0.43905,-0.05368,-0.305937
933020000,-0.157735,0.969115,-0.297488,-0.371837,0.02041,-0.338357,0.313271,0.050815,0.646798,-0.73554,0.272252,0.173801,0.48089,-0.32558,-0.00687,-0.150054
933020100,-0.12348,-1.062195,0.013133,-1.101803,-0.308858,-0.210002,-1.05459,1.131459,-0.831597,0.471252,-0.315619,2.119601,-1.02698,0.89125,0.42112,0.296939
933020200,-0.4074,-0.376957,0.103875,0.137218,0.071067,-1.1109,0.08654,0.581688,-0.533879,0.556916,2.683363,-0.762577,-0.56743,1.10922,-0.88303,-0.171015
933020300,0.305074,-0.780957,-0.262366,-0.439071,-0.486157,-0.148234,-0.851028,0.057015,-0.478687,-0.742912,0.766575,2.75577,-0.5941,0.6126,1.17508,0.239729
933020401,-0.84098,2.729232,1.425793,0.59825,-0.004918,-1.230315,1.1069,0.619279,-0.470157,0.562934,2.061443,0.168949,0.5362,1.59983,-0.34221,-0.883124
933020402,-0.866896,0.245257,2.100529,0.915209,0.678948,-0.650712,1.561971,0.536918,-0.332396,1.371238,0.070462,0.753283,0.53762,1.37758,-0.12134,-0.782902
933020501,-0.967628,0.979585,1.765107,1.203353,0.602963,-0.75885,0.708997,1.679049,-0.721678,1.540603,1.236488,0.599915,0.29255,2.03939,-0.29339,-0.897194
933020502,-0.818753,0.318952,1.099267,0.348524,1.286829,-1.013956,0.418767,0.038558,-0.286362,1.997629,0.244743,0.100361,0.04731,1.19871,-0.73115,-0.520343
933020600,-0.669355,-0.185551,1.15739,0.33892,-0.815426,-1.434953,0.05307,1.199975,-0.844169,-0.005741,1.166908,-0.055185,-0.52397,1.16379,-0.76852,-0.201098
933020700,-0.767385,-0.97785,1.285081,-0.006854,0.349679,-1.333513,-0.610457,0.09836,-0.711381,1.763469,2.595272,0.380334,-1.0263,2.10018,-0.61934,-0.235252
933020800,-0.057962,-0.867882,0.549647,-0.362232,-0.967396,0.037935,-0.815859,-0.623063,-0.865983,1.595889,-0.549686,1.903177,-1.10369,1.13016,0.74426,0.291266
933020900,0.09254,-1.310757,-0.404065,-1.072989,-0.359515,-0.405347,-0.561016,-0.31702,-0.878958,-0.081368,1.792193,0.797416,-1.18015,0.65603,0.08717,0.425395
933021000,-0.383895,0.235844,0.734597,-0.21816,-0.28353,-0.449506,-0.098193,0.359024,-0.55912,0.121814,0.821059,1.710784,-0.28877,1.09532,0.47785,-0.169683
933022000,-0.26974,2.039911,0.62785,-0.47749,-0.334187,0.365748,0.550287,0.668031,0.688498,0.399703,2.379678,0.873325,0.49899,1.22398,0.82299,-0.605763
933022101,0.356645,0.26322,-0.968918,-1.25548,-0.612799,0.283962,-0.808006,-1.688009,-0.822626,0.587592,-0.457857,3.058183,-0.88843,0.39234,1.44606,0.505848
933022103,0.608083,-0.472123,-0.897938,-0.487095,0.096395,0.537481,-1.007891,-0.527678,-0.234584,-0.801886,-1.046901,1.838958,-0.2673,-0.52127,1.01278,0.43643
933022104,-0.200619,1.160329,0.241523,0.406153,0.349679,0.552754,1.159998,0.622293,1.527789,-0.387335,-0.650712,0.462524,1.4395,-0.42785,0.57355,-0.573644
933022201,-0.399584,0.667595,0.029331,0.444573,0.324351,-0.011756,0.802872,0.825471,0.114281,-0.122509,-0.378088,0.772642,0.65645,0.11074,0.19354,-0.374865
