,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,SoRI
933001801,-0.493924,2.047584,0.205836,0.55983,1.768068,0.138473,0.326148,0.771679,3.857304,-0.891866,-0.380142,0.67542,2.60064,-0.85555,0.54788,-1.061004
933001802,-0.221422,-0.131022,0.067682,-0.314208,0.501649,0.251667,-0.301781,-0.303986,0.677959,-0.362736,0.386001,1.171738,0.26281,0.0569,0.60169,-0.097288
933001900,-0.355916,1.212354,0.455534,0.531016,0.425664,0.498873,-0.437481,1.171079,0.48051,0.208456,0.24461,1.567022,0.63757,0.78722,0.85688,-0.526405
933002000,2.39871,-1.1744,-0.665892,-0.093297,-1.296665,1.687223,-0.038497,-0.041388,0.078167,-0.258679,0.082713,1.463284,-0.31439,-0.18029,2.13856,0.466781
933002100,11.080359,-0.079144,-1.098075,-1.178642,-2.005859,5.325722,-0.831976,-0.441316,-0.731182,-0.788667,-0.244211,3.310213,-0.62286,-0.80315,7.07073,1.388014
933002200,-0.067521,0.186579,1.75636,1.337821,-0.030246,0.607788,2.497149,0.119137,-0.108451,1.989535,-0.680006,0.272153,0.80229,0.94545,0.55993,-0.703275
933002300,1.638499,0.527982,-0.723957,0.108404,-1.423307,2.320944,-0.058705,-0.915628,-0.199114,-0.315519,1.11925,2.373144,-0.0609,0.33513,2.84476,0.227269
933002400,2.390429,-0.170582,-0.888275,-0.928916,-1.448635,2.447074,-0.837653,-1.23256,-0.637992,-0.448044,-1.128202,2.638492,-0.6253,-0.40892,2.89849,0.798126
933002500,0.969636,-0.908719,-0.355808,-0.554329,-1.170023,1.770967,-0.366315,-0.897177,-0.766283,-0.069162,-0.298782,2.367946,-0.68906,0.20386,2.0762,0.53115
933002600,0.899412,-0.040096,-0.248325,0.262081,-0.967396,2.283302,0.297697,-0.979963,-0.159586,0.46372,-0.328033,1.698031,0.03535,0.13674,2.16856,0.169789
933002700,0.787145,-0.649684,-0.567067,0.867185,-0.891411,1.852666,1.707201,0.24979,0.483986,-0.079155,-0.659633,0.82064,0.72672,-0.47057,1.53358,-0.065893
933002800,2.312127,1.070095,0.150474,-0.016459,-1.473963,3.917756,-0.437828,-0.483369,-0.19379,-0.423725,0.76292,2.727035,0.15919,0.50495,3.94066,0.168042
933002900,0.203325,-0.316173,0.517084,-0.246974,-0.942068,0.902062,-0.558116,-0.042355,-0.452942,0.191297,0.844042,1.70586,-0.53722,0.94099,1.30945,0.109731
933003000,-0.121475,0.198228,0.166918,0.04117,0.172381,0.498225,-0.23241,0.156942,-0.041299,-0.391878,0.782477,2.184689,0.16345,0.64626,1.19286,-0.182696
933003101,0.095852,-0.525759,0.834903,-0.4967,-0.992724,0.945638,-0.490785,-0.152313,-0.317255,-0.38907,0.953502,2.742289,-0.44443,1.01502,1.79642,0.086637
933003102,-0.396737,-0.095736,0.497319,0.079589,0.450993,0.192554,-0.028252,0.436542,0.478692,-0.824352,-0.39159,1.634479,0.5361,0.04302,0.67955,-0.232886
933003200,-0.514408,0.633743,0.574845,0.617459,0.729605,0.118755,-0.17427,0.749858,1.213715,-0.866684,0.356826,1.608629,1.05033,0.2361,0.76868,-0.570148
933003300,-0.521933,0.830228,0.321012,0.540621,1.210844,0.125864,0.349367,0.326576,1.762865,-0.876379,1.130217,1.342781,1.40772,0.09531,0.74975,-0.71819
933003401,-0.380873,0.222007,0.008411,0.271686,1.312157,0.037103,0.233212,0.905283,3.292473,-0.877308,1.258333,0.803518,1.73431,-0.32148,0.5413,-0.774586
933003402,-0.436367,0.792744,0.503521,0.425363,0.982888,0.156961,0.22106,1.141812,1.913928,-0.514345,1.005869,1.080334,1.33254,0.28554,0.62533,-0.756632
933003501,-0.631178,1.606629,-0.262747,0.944023,1.717411,0.15191,-0.021246,1.141812,2.173423,-0.839797,-0.288216,0.661864,1.89148,-0.52043,0.27103,-0.820815
933003502,-0.556101,0.545372,0.501981,0.434968,1.337486,0.046048,-0.241483,1.152739,1.880276,-0.175641,2.067552,0.690931,1.08202,0.66712,0.36965,-0.780083
933003601,-0.367072,0.865707,-0.194851,0.396548,1.540113,0.208905,-0.21009,-0.101197,2.421667,-1.031405,0.126253,0.562161,1.57511,-0.75537,0.42947,-0.549874
933003602,-0.248007,0.186579,-0.518934,0.665483,0.754933,0.438395,-0.157178,0.360514,1.60137,-0.706767,-0.759322,0.770763,1.10794,-0.70744,0.50226,-0.304014
933003701,-0.635565,-0.27865,1.375712,0.684693,0.273694,-0.055526,-0.384176,0.72678,0.838593,-0.855243,1.262176,2.185304,0.58113,0.95286,0.99409,-0.538029
933003702,-0.870848,2.329002,1.620166,1.347425,0.881575,-0.351174,-0.089424,-0.189288,0.814375,0.399703,1.311976,1.125036,1.14229,1.24066,0.53966,-0.992889
933003800,-0.918439,0.701538,2.037999,1.501103,-0.004918,-0.111184,0.937865,1.038282,-0.129975,1.007869,1.034507,0.813165,0.59874,1.69189,0.3264,-0.876179
933003901,-0.601891,-0.012573,2.053635,0.358129,-0.891411,-0.007311,-0.635072,-1.244726,-0.77488,1.616035,0.632011,1.364035,-0.74504,1.77583,0.70419,-0.13196
933003902,-0.298417,-0.518254,1.133142,-0.102902,-0.891411,-0.554374,-0.191232,0.774175,-0.47117,1.179403,-0.116201,-0.568236,-0.69406,0.88213,-0.60172,0.007231
933004001,-0.733333,-0.484487,2.715322,0.531016,-1.271336,-0.487495,-0.573768,-1.658205,-0.750052,2.031875,0.275774,1.428684,-0.92333,1.9902,0.55815,-0.12494
933004002,-0.701664,-0.82603,2.297016,0.069985,-0.992724,-0.789739,-0.571626,-0.618858,-0.806309,2.841377,1.317966,0.995025,-1.27673,2.50199,0.07723,-0.161958
933004101,-0.357949,-0.87194,1.832465,-0.083692,-1.52462,-0.429714,-0.320689,-1.043187,-0.861003,2.025415,-0.408926,0.727,-1.15774,1.41714,0.16569,0.158325
933004102,-0.002613,-1.061364,0.629685,0.194847,-1.018053,0.411406,-0.315792,-0.133086,-0.731484,0.040595,-0.279782,0.597197,-0.6185,0.39616,0.46373,0.250394
933004200,0.296532,-0.463036,0.463401,0.069985,-1.22068,1.269695,-0.79426,-0.117694,-0.783642,0.198949,0.651269,2.439605,-0.65891,1.10749,1.81677,0.1737
933004301,0.768492,0.267903,0.418703,0.04117,-1.018053,1.809459,-0.44946,-0.189288,-0.620359,-0.054886,-0.022652,1.59919,-0.24352,0.50833,1.83786,0.157063
933004302,1.332963,0.429699,-0.329948,-0.583143,-1.170023,2.437703,-0.80321,-0.143964,-0.589475,-0.430867,-0.546237,2.718497,-0.30385,0.197,2.65134,0.386352
933004400,1.712705,-1.102643,0.453893,-0.727215,-1.549949,3.393885,-1.147852,-0.608049,-0.770779,0.937152,0.400561,1.387919,-1.10239,0.78106,2.65204,0.61933
933004501,0.445813,-1.329518,0.989882,-0.179741,-1.246008,2.19583,-0.539693,-0.822713,-1.005741,0.2145,0.452035,1.975179,-0.83797,0.91724,2.07298,0.365024
933004502,0.077548,-0.090812,1.095217,-0.150926,-1.246008,0.563957,-0.704943,0.254956,-0.874212,0.814687,0.329506,1.871463,-0.77046,1.40524,1.1619,0.06004
933004600,-0.260297,-0.329247,1.927182,0.454177,-1.296665,0.007467,-0.708047,-0.433645,-0.94433,1.725368,0.963127,0.387789,-0.99966,1.81851,0.34462,-0.047208
