FAC_1,FAC_2,FAC_3,SoRI
-0.68812,-0.45299,0.05441,0.491122
-1.14982,-0.90272,0.72254,0.924991
-0.60147,-0.41066,0.04443,0.432519
-0.81772,-0.58148,0.10184,0.598185
-0.6096,-0.39075,0.63256,0.496207
-1.18199,0.53777,0.6991,0.589203
-0.39535,-0.71735,0.46922,0.441206
-0.08379,0.49186,0.87899,0.021691
-1.28412,-0.99882,0.37677,0.983869
-1.5122,-1.46344,0.50144,1.234851
-1.41524,0.16495,-0.41808,0.685287
-0.33955,-0.25218,0.83992,0.337944
-0.74732,-0.31085,0.93387,0.584624
0.51485,0.12059,-0.7478,-0.391364
-1.0351,-0.53899,-1.1454,0.570318
-0.76992,-0.08528,0.25936,0.468488
0.49953,-0.76619,0.8358,0.005526
-0.96613,-0.09078,1.12114,0.670657
-0.21172,0.03752,1.36307,0.254784
-0.86732,-0.35296,0.62814,0.626929
-0.5529,1.45059,1.72677,0.136219
0.90062,1.96223,-1.21209,-1.100579
0.01233,0.5566,0.23057,-0.117117
-0.37236,2.38907,-0.99813,-0.487673
-0.08684,0.81187,-0.80082,-0.237669
0.43574,0.86192,-0.32014,-0.482164
0.50732,2.80939,-1.28379,-1.100408
-0.53505,0.70496,-0.82056,0.030396
-0.43937,2.23562,-1.12684,-0.42783
-0.54003,0.03273,-1.1674,0.158992
-0.32181,0.93913,-1.25684,-0.190352
0.22412,1.66622,-0.89664,-0.625559
-0.74293,-0.39047,-0.18043,0.480161
-0.59081,0.93237,-0.41533,0.04957
0.36163,2.79791,-1.46882,-1.038408
-0.04766,1.19021,-0.59899,-0.329141
-0.52946,0.77379,-0.59462,0.035218
-0.08105,0.96251,0.30488,-0.156983
-1.37749,2.17898,-0.42467,0.173586
-0.48054,1.43361,0.92513,0.013553
-0.38726,0.65182,1.56505,0.222852
-0.77036,0.69374,0.50734,0.306066
-0.28017,0.54434,1.48705,0.182178
-0.27773,0.04399,1.13866,0.26471
-1.2245,0.55949,0.75454,0.613117
-0.73674,-0.06893,0.80949,0.506395
-0.60998,0.77473,0.93154,0.245208
-0.81182,-0.12223,0.32084,0.507014
-0.30473,-0.0749,1.30322,0.326306
-0.94789,0.38655,1.80388,0.618908
-0.62593,0.4266,1.67575,0.419786
-0.29218,-0.03415,-1.2577,0.030406
-0.39761,0.63801,0.45818,0.111204
-0.01963,0.69426,-0.13419,-0.172985
-0.44789,-0.0792,-0.48599,0.210323
-0.29335,0.58217,-0.15499,0.001165
-0.2824,0.35899,0.48881,0.119718
-1.25244,-0.60495,0.13288,0.844119
-1.2621,-0.9406,0.142,0.932106
-1.22292,-0.07596,0.94155,0.787372
-0.959,-0.57867,0.44845,0.71225
-1.23118,-0.35207,0.78894,0.84247
-0.58058,-1.38299,0.3055,0.686358
-0.84727,-1.18571,0.07254,0.75822
-1.11155,-0.50309,0.85836,0.821636
-1.04539,-0.59059,0.21149,0.73639
-0.00558,0.08348,-0.06229,-0.024077
-0.71379,-0.55819,-0.38872,0.482422
-0.56315,-0.15845,-0.85507,0.252184
0.7988,-0.6023,-0.78907,-0.374535
0.04133,1.27084,-0.17922,-0.351501
-1.36226,-1.42748,0.08013,1.098485
-1.25596,0.02582,-0.48627,0.624956
-1.35467,0.17104,-0.06424,0.689374
-1.25589,-0.46567,0.83913,0.889065
-1.26834,0.7239,-0.1851,0.494546
-1.13894,-0.82316,0.41103,0.865736
-1.08403,0.33633,1.21157,0.640744
-1.31439,-0.00119,0.71428,0.794226
-0.82899,-0.64104,1.04122,0.72122
-0.27399,-0.58631,2.31703,0.544593
-0.78102,-0.08384,1.41842,0.600523
-1.20937,-0.83421,0.36,0.901235
-0.83237,-0.95557,-0.08046,0.677386
-0.52701,0.85003,1.09614,0.199612
-0.31152,0.24424,1.06412,0.226233
-0.78849,0.2054,0.48954,0.432914
-0.17061,-0.68905,-0.03567,0.256844
-0.2653,-0.43021,0.03885,0.253526
1.77913,-0.8586,0.46866,-0.709117
0.3734,-0.32343,0.26074,-0.096252
-0.38562,-1.09059,-0.42746,0.429051
0.17372,-0.696,-1.13371,-0.048741
1.65398,1.90423,-0.26132,-1.393252
0.14348,1.42946,-1.00188,-0.535446
-0.36771,0.07243,-0.9232,0.082063
0.61162,-0.63206,0.15766,-0.162119
0.79391,-0.65371,1.12125,-0.151128
0.79214,-0.4288,0.35164,-0.288816
0.92635,-0.13389,-0.22128,-0.496193
0.40562,-0.60845,0.33304,-0.036523
2.22902,0.18653,0.51408,-1.203755
0.17515,0.02587,0.8816,-0.005627
1.0594,0.15123,0.66659,-0.541327
0.48153,0.17513,0.22321,-0.280652
1.19982,0.53829,0.20092,-0.762835
0.66534,-0.43083,-0.00903,-0.258554
-0.47096,2.33883,-0.81893,-0.402189
-0.54882,1.10551,-0.44254,-0.018431
0.65334,0.22721,0.46292,-0.360807
0.22622,-0.69548,0.80442,0.133787
0.09873,-0.06476,0.86191,0.055929
-0.62134,-0.3525,0.35508,0.463044
0.02341,0.05067,0.73644,0.05518
-0.87551,0.12869,0.23107,0.470828
0.01385,-0.92463,-0.27239,0.187911
0.24427,0.16945,0.41648,-0.128943
-0.17174,-0.73255,-0.08524,0.262649
0.83703,0.19893,0.7112,-0.426933
1.80111,-0.88669,0.36342,-0.725723
1.08001,-1.06589,0.01564,-0.32714
0.11497,-0.01869,-0.18207,-0.07793
0.14954,-0.52768,0.05216,0.052706
1.80108,0.14014,0.45511,-0.965745
0.1118,0.32974,-0.2916,-0.172985
1.02792,-0.73057,0.62087,-0.314442
0.16116,-0.84662,-0.53829,0.059678
-0.33114,0.58774,0.90955,0.136431
0.19761,0.35769,1.46749,-0.034799
0.39782,-0.39975,1.02344,-0.007838
-0.60147,1.30562,1.24179,0.145117
-0.62986,0.12323,1.32635,0.457713
-0.64067,-0.33683,1.50759,0.595382
-1.01863,1.43239,-0.0755,0.197933
-0.0234,0.71192,1.44316,-0.0033
-0.45211,0.76629,1.56112,0.22988
0.90803,-0.41201,0.83702,-0.303135
0.62836,0.97708,0.81559,-0.49135
1.21942,0.35611,1.12964,-0.627922
1.86471,0.06895,0.9614,-0.927891
-0.29111,0.01501,-0.55216,0.094756
0.32298,-0.37621,0.0686,-0.076875
-0.33028,-0.51547,0.0174,0.30735
0.43722,0.58431,-0.12033,-0.393593
0.54609,-0.00483,0.18052,-0.276657
0.69392,-0.40618,-0.34959,-0.317248
-0.23152,-0.3484,-0.02634,0.208096
0.09882,-0.57756,0.16361,0.104632
0.33656,-0.90851,-0.19958,0.01611
0.90664,0.10207,-0.05401,-0.524679
0.0238,0.15147,0.94234,0.052866
0.24473,0.3738,0.28283,-0.193521
0.21422,0.69837,0.3932,-0.243901
0.59787,0.04242,0.11023,-0.324034
0.11036,-0.67111,0.44283,0.15156
1.0484,-0.54161,-0.40635,-0.483578
1.03539,-0.19606,0.51666,-0.460024
1.67169,-0.45109,0.7322,-0.721086
2.33124,-0.82914,0.64994,-0.997321
1.94509,-1.11014,0.64148,-0.719445
1.1594,-1.36346,0.15131,-0.283146
0.69519,-0.03076,0.18479,-0.351107
0.68844,-0.43886,0.38649,-0.226072
0.39641,-0.60855,0.88314,0.02848
0.85339,1.35973,1.70328,-0.610364
-0.5308,-0.09932,0.41323,0.358406
-0.04542,0.34355,0.68149,0.015373
2.23816,-0.81552,0.79339,-0.934291
0.51605,0.36628,1.06704,-0.254026
0.78291,1.27094,1.19515,-0.605732
0.03559,0.95006,1.60603,-0.075672
0.44924,0.83695,1.42718,-0.292981
-0.11594,1.39981,1.80333,-0.081127
-0.26658,2.0541,1.42628,-0.199476
-0.71523,2.81971,-0.17149,-0.315634
-0.78862,1.34134,0.03001,0.106295
0.57803,1.28083,0.2584,-0.598627
2.67381,2.59788,-0.48177,-2.141788
-0.296,1.5853,-0.0234,-0.22731
2.77286,1.2839,-1.4932,-1.986043
0.08009,0.62268,-0.27304,-0.225017
2.23379,1.89432,0.32402,-1.642918
0.42748,2.29322,-0.58784,-0.855365
0.48524,1.10003,1.41981,-0.377457
-0.00219,2.76131,-0.62859,-0.739702
0.33324,0.97682,1.52769,-0.252887
1.55737,0.60336,-0.79837,-1.082396
0.78441,2.17388,-0.43524,-1.004128
1.57266,0.81096,1.26665,-0.916189
0.7373,0.22282,0.65674,-0.384353
0.14085,0.37387,0.55531,-0.107244
1.76681,-0.14633,0.17951,-0.90736
0.06158,0.80152,0.26714,-0.199601
1.30284,-0.02883,0.22929,-0.677775
0.95943,0.71469,1.37215,-0.54716
0.977,0.11651,0.45883,-0.510627
1.46414,-0.2461,0.54025,-0.678851
1.21346,0.20708,0.93345,-0.609771
0.57429,0.59207,0.91257,-0.357572
1.32651,-0.01637,0.68512,-0.644018
0.56223,0.58194,1.5305,-0.281181
1.66423,-0.17269,0.48199,-0.812086
0.97098,-0.47719,0.287,-0.381511
0.57555,0.77634,0.73772,-0.422187
0.28533,1.32397,1.79552,-0.282123
0.73086,0.80442,-0.14207,-0.609534
0.047,1.81947,0.76619,-0.385132
0.12321,0.22536,-0.05445,-0.127935
-0.12995,0.59138,1.00159,0.035969
0.35533,0.41231,0.5232,-0.236952
-0.03617,0.33519,0.86703,0.032593
0.31756,-0.01059,0.51255,-0.11456
0.42193,-0.28719,0.44632,-0.111288
1.62432,-0.88192,0.49967,-0.615718
