ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59152474,0.744556,-0.751276,-0.371694,-0.038407,-0.024139,-0.221657,-0.872182,1.133913,-0.581688,-0.836707,-0.48833,0.10931,-1.26445
59152477,0.996260,-0.224430,-0.661434,0.037704,-0.024038,0.108801,-0.845290,-0.865941,-0.581688,-0.836707,-0.04657,-0.63066,-1.04758
59152478,0.911840,-1.166167,-0.985260,0.281258,-0.024088,-0.439152,-0.967945,0.149610,-0.581688,-0.836707,-0.46062,-0.57551,-1.28758
59152479,0.808331,-0.921677,-0.959694,1.133699,-0.024189,-0.274383,-0.609792,-0.008364,-0.581688,-0.645886,0.03934,-0.61936,-1.07108
59152480,0.483293,-1.166167,-0.226825,0.022482,-0.024441,0.454995,-0.894251,-0.268558,-0.581688,-0.836707,-0.19873,-0.51359,-1.19789
59152481,0.352633,-0.916475,-0.797781,0.707479,-0.024593,-0.848417,-0.781407,-0.087352,-0.581688,-0.836707,-0.32442,-0.66432,-1.05179
59152482,-1.453557,-1.166167,-1.419868,-1.682400,-0.025349,-1.043306,-0.967945,1.473328,-0.581688,-0.836707,-2.14701,0.03438,-0.82464
59152483,-1.453528,-0.130683,-0.934129,-0.297184,-0.023281,-0.380686,-0.799005,-0.238146,-0.581688,-0.836707,-0.97198,-0.29984,-0.62587
59152491,0.456991,-0.145690,-0.192738,0.205148,-0.022525,-1.008783,-0.664425,-0.374200,-0.581688,0.789423,-0.32469,-0.32051,0.37921
59152492,0.856013,-1.166167,-0.763694,0.677035,-0.023029,-0.801644,-0.967945,-0.513883,-0.581688,-0.144096,-0.29639,-0.82188,-0.67429
59152494,1.086252,-1.166167,0.003262,-0.144962,-0.022373,-1.751624,-0.967945,-0.397225,-0.581688,-0.836707,-0.46191,-0.89240,-0.97020
59152495,1.181333,-1.166167,0.650915,-0.662515,-0.022777,-1.671626,-0.967945,-0.459720,-0.581688,-0.836707,-0.43038,-0.81641,-0.90099
59152496,-1.453526,-0.721641,-0.797781,-0.632071,-0.022525,-0.483358,-0.826940,-0.513883,0.652366,-0.836707,-1.16890,-0.25721,-0.52368
59152497,1.214423,-0.383801,-0.874477,-0.114518,-0.022676,-0.690108,-0.967945,-0.622209,-0.026364,-0.587367,-0.40708,-0.51827,-0.83750
59152498,-1.453523,-0.696747,-0.891521,-0.023185,-0.022979,-1.091638,-0.967945,-0.798237,-0.581688,0.659333,-1.15833,-0.62313,0.46763
59152499,-1.453520,-1.166167,-1.147173,-0.555960,-0.022273,-0.725330,-0.824684,-0.730534,0.995937,-0.184364,-1.35975,-0.41336,-0.04901
59152500,1.360241,-0.826008,-0.772216,-0.205851,-0.022928,-1.372844,-0.967945,0.718319,1.229152,0.409993,-0.90969,0.31061,-0.15857
59152501,-1.453511,0.050846,-1.121608,-0.753848,-0.025803,-1.106901,-0.840033,-0.374200,-0.581688,-0.317249,-1.33858,-0.35949,-0.08950
59152502,0.153023,-0.011857,0.863958,1.818696,-0.024340,-1.398690,-0.823529,1.049098,-0.581688,-0.146935,0.19056,0.36712,-0.50683
59152507,0.439937,-0.320366,-0.056390,2.062251,-0.023332,-1.136252,-0.777438,0.149610,0.960879,-0.836707,0.25363,0.09189,-0.95091
59152510,0.711976,-0.514195,-0.039346,-0.175406,-0.023887,-0.360349,-0.520254,0.149610,-0.581688,-0.836707,-0.15638,-0.32184,-0.93974
59152511,-1.453557,-1.166167,-1.419868,-1.682400,-0.023584,0.648325,-0.967945,-0.459720,-0.581688,-0.836707,-1.54346,-0.57460,-0.81571
59152512,0.655498,-1.166167,-0.789260,0.068148,-0.024038,0.648325,-0.821161,-0.561275,-0.581688,-0.836707,-0.17770,-0.72170,-1.22716
59152514,-1.453528,-1.166167,-1.155695,-0.723404,-0.024290,-0.439152,-0.773297,0.149610,-0.581688,-0.836707,-1.33804,-0.50059,-0.75871
59152515,-0.078601,-0.448998,0.633871,1.651253,-0.025097,1.937186,-0.861983,0.623534,0.112467,-0.836707,0.64165,0.65475,-1.38084
59152516,-0.496572,0.246438,0.540132,1.499031,31.454592,2.791757,-0.759717,-0.134744,1.669626,-0.836707,0.06116,2.27780,-16.02228
59152517,0.221888,1.316339,1.034393,1.179366,-0.024290,1.507565,-0.488276,0.735045,2.412707,-0.117457,0.68392,1.88474,-0.26981
59152518,1.156361,-1.166167,-0.354651,-0.738626,-0.024240,-1.136252,-0.781407,0.149610,-0.581688,-0.836707,-0.64620,-0.64262,-1.03346
59152519,0.571615,0.528959,-0.201259,0.981478,-0.023836,1.228312,0.212780,-0.459720,-0.581688,-0.836707,0.97061,-0.23954,-0.81052
59152520,1.272597,-1.166167,-0.542129,-0.540738,-0.023887,-1.008783,-0.659192,-0.755153,-0.581688,-0.836707,-0.38117,-1.09806,-0.94624
59152523,-0.053431,-0.327918,1.059958,0.509591,-0.025097,2.493739,-0.876580,1.571381,0.888288,-0.836707,0.26408,1.50299,-1.37166
59152524,0.993404,-0.284628,-0.329086,-0.434183,-0.023887,-0.243964,-0.650995,-0.561275,-0.581688,-0.178239,-0.21882,-0.48729,-0.44136
59152531,1.318555,-0.702051,-0.516564,-0.434183,-0.022222,-0.830075,-0.967945,-0.561275,-0.581688,-0.123552,-0.47539,-0.66697,-0.54099
59152537,0.930959,-0.112982,-0.559173,0.250814,-0.022575,0.108801,-0.840941,-0.561275,-0.581688,-0.297270,-0.04153,-0.38057,-0.68734
59152538,-1.453526,-0.607334,-0.252390,-0.890848,-0.023080,-0.552431,-0.809820,-0.615959,-0.164151,-0.836707,-1.04984,-0.42955,-0.48940
59152539,-1.453526,-0.079548,-0.567694,-0.388516,-0.023231,-0.274383,-0.856718,-0.053500,0.446690,0.202210,-1.08810,0.29203,0.18271
59152540,0.316404,-1.166167,-0.456912,-0.373294,-0.024139,0.384694,-0.725950,1.571381,-0.581688,0.332074,-0.76874,0.38304,-0.46888
59152541,0.657591,-0.234779,-0.618825,0.844478,-0.023634,-0.076660,-0.692443,-1.272161,2.194933,1.500856,-0.09642,0.17351,0.95602
59152542,-1.453528,-0.921677,-0.669955,0.037704,-0.023584,-0.698075,-0.773297,-0.755153,-0.581688,-0.252317,-0.87285,-0.74650,-0.20656
59152543,0.520879,-0.491714,-0.456912,3.523578,-0.023281,-0.545767,-0.967945,-0.459720,-0.581688,0.291771,0.78225,-0.47631,-0.52808
59152544,1.206023,-0.711303,-0.576216,-0.632071,-0.022020,-1.106901,-0.967945,-0.134744,-0.581688,-0.510536,-0.67119,-0.56490,-0.80231
59152546,-1.453520,-1.041982,-1.155695,-0.814737,-0.023281,-1.126637,-0.828767,-0.987807,-0.253741,-0.615835,-1.36660,-0.94498,-0.33091
59152547,1.331027,-0.896385,-0.652912,-0.373294,-0.021869,-0.801644,-0.861352,-0.374200,0.594846,0.114166,-0.57129,-0.33473,-0.30988
59152548,-1.453523,-1.166167,-0.559173,-0.540738,-0.022525,-1.592536,-0.841835,-0.603092,-0.581688,-0.836707,-1.23481,-0.92169,-0.51427
59152559,-1.453528,-0.360790,-0.482477,-0.175406,-0.025702,0.165002,-0.967945,-0.459720,-0.581688,-0.270025,-0.82130,-0.21918,-0.33509
59152560,0.176694,-0.855704,-0.337607,1.864363,-0.025349,-0.180229,-0.967945,0.623534,-0.581688,-0.836707,0.10170,-0.11977,-1.34651
59152561,0.177826,-0.400809,-0.618825,2.442805,-0.024794,-0.578572,-0.967945,0.408114,-0.581688,-0.226908,0.18601,-0.10650,-0.84134
59152562,-1.453520,-0.342624,-1.257955,-0.403739,-0.022626,0.748322,-0.795756,-0.238146,-0.581688,-0.098530,-0.97577,-0.14985,-0.28271
59152563,0.057291,-0.263437,-0.184216,2.336250,-0.025097,0.165002,-0.752190,0.547706,-0.581688,-0.237332,0.45070,0.12535,-0.82633
59152564,1.000587,-0.514195,-0.865955,-0.403739,-0.022121,-0.751645,-0.967945,-0.513883,0.960879,-0.447113,-0.66745,-0.21216,-0.61763
59152566,1.250255,-0.651452,-1.010825,-0.540738,-0.023584,-0.318321,-0.795756,-0.561275,-0.581688,-0.836707,-0.42680,-0.76300,-1.06763
59152567,1.242365,-0.622857,-1.419868,-0.753848,-0.023735,-0.751645,-0.967945,-0.703453,-0.581688,-0.035257,-0.80820,-0.79566,-0.46621
59152568,0.250085,-1.166167,-1.419868,1.559920,-0.024946,-1.488472,-0.967945,0.307585,-0.581688,-0.836707,-0.48654,-0.71108,-1.20861
59152569,-1.453526,-1.166167,-1.419868,-0.571182,-0.023634,0.087046,-0.967945,-0.459720,-0.581688,-0.836707,-1.24737,-0.68077,-0.84853
59152570,-1.453520,-1.166167,-0.891521,-1.012625,-0.023180,-1.251635,-0.967945,0.149610,-0.581688,-0.836707,-1.60063,-0.53369,-0.66816
59152571,0.383318,-1.166167,1.085523,0.524813,-0.023130,0.510232,-0.967945,0.623534,-0.581688,-0.836707,0.13996,0.09138,-1.30269
59152572,0.612454,0.488837,-1.036390,0.113815,-0.021869,0.800953,-0.425289,-0.238146,-0.581688,1.141231,-0.10877,0.08356,0.46289
