ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59152983,-0.24545,-0.43819,-0.125025,-0.367342,-0.641375,-0.212764,-0.203461,-0.567959,-0.599655,-0.99695,-1.024909,-0.968964,-0.49938,-0.882,-0.83791
59152984,-0.515237,-0.029345,-0.008854,0.427633,0.127284,-0.97115,-0.67568,2.367232,-0.811144,0,1.341295,-0.968964,-0.40409,0.89448,-1.1055
59152985,0.182391,-0.412969,-0.352148,-0.532337,-0.330251,-0.387291,-0.659913,0.463488,0.140554,-0.99695,0.43918,-0.686492,-0.32082,-0.53501,-0.48108
59152986,0.006869,-0.091402,-1.243168,-0.524837,-0.348553,0.133539,0.116308,-0.01284,-0.294797,-0.99695,-1.024909,-0.968964,-0.21485,-1.35724,-0.68458
59152987,0.193752,0.750797,-1.046868,-0.682332,-0.732882,-0.67455,0.305416,-0.848561,-0.502387,-0.99695,0.104027,-0.751155,-0.35879,-0.94949,-0.61226
59152988,-0.624149,-0.25622,-0.095778,-0.12735,-0.659677,-1.315917,-0.117939,0.472889,-0.811144,-0.99695,0.090587,-0.968964,-0.53012,-0.20405,-1.33147
59152989,-0.990049,-0.363497,0.043117,1.072613,0.694628,-1.314437,-0.316942,-1.567173,-0.455564,2.173215,1.440925,-0.646139,-0.53015,1.3326,-1.06976
59152990,-1.068812,-0.363497,1.084396,1.065113,0.365202,-0.852902,-0.527515,1.169804,-0.496991,1.249693,0.249944,-0.600021,-0.21265,1.3963,-1.03173
59152991,-0.223756,-1.270481,-0.269133,-0.157349,-0.037429,-0.712002,-0.368535,-0.33285,-0.811144,-0.99695,-1.024909,-0.674211,-0.60264,-0.76474,-1.05751
59152992,-0.116986,0.543486,-0.428521,-0.884826,-0.019127,-0.61861,-0.941087,-0.255705,-0.342191,-0.545472,1.057351,-0.366358,-0.51422,-0.12229,-0.42577
59152993,-0.860498,0.301624,0.691619,2.782559,0.914245,-0.678507,-0.420012,1.817261,-0.811144,0.98261,0.536786,-0.404021,0.44665,1.56858,-0.70486
59152994,0.378141,-0.509785,-0.156972,-0.614834,-0.494964,-0.416732,-0.941087,0.45047,-0.811144,-0.99695,0.536786,-0.366358,-0.83757,-0.13526,-0.35442
59152995,-0.906265,0.597366,-0.347056,0.570128,1.408383,-1.123367,1.993964,0.400029,0.544628,0.798465,1.005294,-0.968964,1.04666,0.21541,-1.1322
59152998,-0.859207,-0.25622,-0.814406,0.652626,0.401805,-1.298916,-0.053631,0.764326,-0.811144,1.249693,0.61898,-0.850029,-0.50142,0.74636,-1.42442
59152999,-1.197452,1.739932,1.400863,0.795121,0.98745,-1.126598,-0.144865,-0.068352,-0.811144,2.797207,0.927209,-0.646139,-0.08917,2.14064,-1.01555
59153000,-0.612642,-1.270481,-0.724756,-0.12735,-0.513265,-0.988798,0.411227,0.45047,0.113363,2.487901,3.518203,-0.804617,-1.03938,1.84876,-0.76731
59153001,-0.394258,3.23776,0.556634,1.245107,0.310298,-0.557632,0.382577,1.140375,-0.536926,0.432732,2.243754,-0.128118,0.81593,1.46199,0.12751
59153002,-0.616693,-0.074314,-0.323405,0.285137,-0.147237,-1.042792,-0.451456,0.625132,-0.183515,-0.077869,-0.689061,-0.725978,-0.19719,-0.19767,-1.17644
59153003,-0.610909,-0.685814,-0.403326,-0.022353,-0.769485,-1.225028,-0.105834,1.711498,-0.332479,1.862415,0.113827,-0.874807,-0.92366,1.01946,-1.38805
59153005,-0.223051,-0.683874,-0.333964,-0.592335,-0.348553,-0.613989,-0.588066,0.731019,-0.185442,-0.99695,0.648335,-0.888258,-0.50805,-0.34788,-0.84109
59153006,2.033495,-0.493066,-0.910659,-0.74983,-1.007403,-0.316296,-0.241122,-0.318156,-0.811144,-0.99695,-0.068769,-0.968964,-1.02756,-1.01216,-0.23968
59153007,1.086865,-0.091402,-0.835844,-1.484807,-0.806088,-0.31521,-0.941087,-1.567173,-0.811144,-0.99695,-1.024909,-0.517009,-1.1577,-1.33335,-0.3652
59153008,-0.267174,-0.327218,-0.945126,-0.937324,0.566518,-0.792791,-0.597556,0.917714,-0.289245,-0.99695,-1.024909,-0.742987,-0.2636,-1.08229,-1.22373
59153010,1.511096,-1.270481,-1.020992,-0.892326,-0.751184,-0.140631,-0.462459,-0.207132,-0.538466,-0.99695,-1.024909,-0.968964,-1.01031,-1.36504,-0.51255
59153011,1.238991,2.030939,-0.467314,-0.412341,-0.879293,0.062007,-0.941087,-0.255705,-0.390914,-0.99695,0.462419,-0.968964,-0.30245,-0.69386,0.08179
59153013,1.287693,0.50926,-1.243168,-1.484807,-1.044006,-0.160634,-0.941087,-0.613378,0.029317,0.289764,-1.024909,-0.968964,-1.01592,-1.10771,-0.44139
59153014,1.122622,-0.728376,-1.243168,-1.087319,-0.787786,-0.234311,-0.562439,-1.567173,-0.596854,-0.99695,0.968744,-0.968964,-1.15747,-1.0079,-0.30175
59153016,0.142995,-1.270481,-0.855241,-1.484807,-0.421758,-0.444711,-0.941087,1.193813,-0.811144,-0.99695,-1.024909,-0.517009,-1.11249,-0.84166,-0.94227
59153017,0.167948,0.654545,-0.980379,-1.087319,-0.147237,-0.334807,-0.941087,-0.760116,-0.811144,-0.282109,-1.024909,-0.968964,-0.80613,-0.99156,-0.89413
59153018,0.569516,-1.270481,-0.338004,-0.929824,-1.025705,-0.402301,-0.941087,-0.517999,-0.811144,-0.99695,-1.024909,-0.710704,-1.23453,-0.89871,-0.70313
59153019,0.305454,0.69465,-0.835844,-1.147318,-0.677978,-0.369846,-0.682918,-1.567173,-0.811144,0.611442,0.536786,-0.291032,-1.13485,-0.03702,-0.23727
59153020,0.023896,-1.270481,-0.428521,-0.629834,-0.623074,-0.451474,-0.941087,-0.567959,-0.443442,0.17279,-1.024909,-0.366358,-1.08677,-0.39106,-0.70817
59153021,-0.296942,-0.029345,-0.540886,-0.584835,0.346901,-0.443118,-0.598935,0.45047,-0.811144,-0.99695,-1.024909,0.745348,-0.25543,-0.48662,-0.2288
59153022,-0.599226,0.241158,1.001268,0.075144,-0.238744,-0.348209,-0.600304,1.638639,-0.552282,0.228492,-0.04885,-0.498178,-0.28084,0.81799,-0.63256
59153023,0.835632,-0.12016,-1.243168,-1.484807,-0.860992,-0.558248,-0.941087,-1.567173,-0.811144,-0.99695,0.276503,-0.027391,-1.2333,-0.91695,-0.13289
59153024,-0.011273,-0.198591,-0.883765,-0.532337,-0.348553,-0.431231,-0.553833,-0.255705,-0.811144,-0.99695,-0.106265,-0.703108,-0.66526,-0.74557,-0.7211
59153025,0.16921,-0.665825,-0.011724,-0.862327,-1.025705,-0.527936,0.242188,-0.692861,-0.811144,-0.99695,1.1542,-0.233224,-0.84846,-0.04539,-0.20756
