ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
59150590,0.046823,-0.566553,0.423156,0.270138,-0.586471,0.935309,-0.557322,0.306353,-0.811144,-0.99695,1.1542,1.907113,-0.33959,-0.01711,1.54703,1.35379
59150591,1.132662,-0.012797,0.17361,-0.727331,-1.336829,1.667929,-0.098756,-1.567173,-0.267316,-0.99695,-0.345911,2.345372,-0.1537,0.01505,2.4427,-0.61231
59150592,0.802107,-1.270481,0.738406,0.390134,-1.208719,1.627423,-0.478066,0.181451,-0.811144,1.385854,-0.202964,2.206935,-0.93184,1.62478,2.156,0.0967
59150593,-0.154533,-0.245195,0.052862,1.042614,-0.44006,0.558581,-0.651305,-0.356587,-0.150782,-0.043829,0.039883,1.085376,-0.0203,0.3314,0.88943,0.237
59150594,-0.037225,1.168992,0.68626,-0.089851,-0.513265,0.575138,0.379778,0.618607,-0.439216,0.432732,0.61898,1.29081,0.03783,0.7892,1.13223,0.73691
59150595,-0.063264,0.523769,1.144591,0.345136,-0.989102,0.491264,-0.479321,1.383631,-0.811144,0.075311,1.936926,0.823271,-0.54289,0.72916,0.9739,1.86675
59150596,0.974313,-0.555888,0.24704,-0.667333,-1.300226,0.975713,-0.635726,-0.654847,-0.811144,1.147573,-1.024909,1.676626,-1.11701,1.06818,1.51325,-0.62567
59150597,-0.644347,-0.045464,1.370999,1.035114,-0.128936,-0.18191,-0.597556,0.976281,-0.550194,1.862415,-0.565587,0.892027,-0.41959,1.78446,0.23112,0.53708
59150598,0.480184,0.819025,1.321462,-0.344843,-1.117212,0.819953,-0.129698,0.125044,-0.811144,0.228492,0.421105,1.792983,-0.43067,1.03906,1.6926,0.59675
59150599,-0.314027,0.280938,1.308739,0.112643,-0.513265,-0.388809,-0.717476,-0.168274,0.080605,1.862415,1.232963,-0.206631,-0.71787,1.40934,-0.00627,0.75087
59150600,0.320661,-0.38061,0.403459,-0.899825,0.035777,1.043049,-0.941087,-0.760116,-0.500012,0.432732,2.297846,1.435051,-0.85082,0.14213,1.51648,1.70069
